"Udalerri kodea","Udalerria","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01019","Kripan","1390.35","1422.24","1418.70","1510.06","3076.14","1639.97","1702.73","1844.20","1455.57","982.56","980.09","1152.95"
"01020","Kuartango","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01028","Labastida/Bastida","809.84","889.68","987.18","1043.66","1148.98","1029.81","1109.77","755.47","842.36","959.61","783.51","859.59"
"01030","Lagrán","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","38.75","103.39","176.14","260.13"
"01031","Laguardia","477.98","650.06","307.78","409.30","916.56","630.17","737.08","845.39","950.92","1078.58","810.53","879.86"
"01032","Lanciego/Lantziego","698.70","795.65","831.67","868.94","966.28","1037.89","895.54","586.25","529.73","600.84","468.77","306.75"
"48051","Lanestosa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01902","Lantarón","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01033","Lapuebla de Labarca","27.34","44.17","63.47","79.10","151.10","77.45","76.48","0.00","0.00","20.08","7.39","244.00"
"48052","Larrabetzu","131.77","144.04","155.36","169.07","186.95","199.60","213.64","217.59","234.70","15.33","25.79","38.63"
"20048","Larraul","295.77","291.78","346.74","480.06","172.13","788.67","722.08","700.84","853.37","776.84","833.33","852.27"
"20902","Lasarte-Oria","156.56","189.58","223.10","256.59","292.81","478.13","388.49","429.86","217.79","243.58","268.49","292.27"
"01036","Laudio/Llodio","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48053","Laukiz","0.00","0.00","0.00","0.00","132.69","0.00","0.00","0.00","0.00","0.00","0.91","3.16"
"20049","Lazkao","229.11","228.73","0.00","0.00","250.60","660.22","593.90","448.31","330.45","335.61","336.27","339.52"
"20050","Leaburu","153.17","268.56","397.28","545.68","0.00","1067.89","1064.66","1050.18","1147.11","1265.70","1386.19","1405.15"
"20051","Legazpi","100.69","113.46","132.22","156.28","58.27","211.58","123.19","158.82","206.00","257.07","328.74","416.20"
"20052","Legorreta","234.54","268.69","303.65","343.90","334.21","542.59","475.33","442.07","374.81","406.71","441.10","249.50"
"01058","Legutio","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18.77","49.43"
"20068","Leintz-Gatzaga","0.00","0.00","0.00","0.00","0.00","246.96","0.00","0.00","0.00","0.00","0.00","0.00"
"48054","Leioa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.29"
"48057","Lekeitio","351.89","456.05","557.11","654.11","629.77","553.86","450.32","381.26","315.18","354.20","386.96","332.33"
"48055","Lemoa","0.00","0.15","0.15","0.16","0.00","29.47","59.06","87.68","120.19","156.55","184.11","217.42"
"48056","Lemoiz","12.78","201.47","473.49","578.33","667.95","765.27","840.30","1251.96","104.70","144.10","29.47","68.47"
"01034","Leza","1079.17","1199.91","1313.75","1418.93","1093.90","2931.60","1829.12","1413.69","714.62","896.33","1016.44","836.37"
"48081","Lezama","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.47"
"20053","Lezo","495.01","581.63","672.64","768.16","864.30","967.29","1042.87","1152.15","1059.73","1162.31","1014.69","1114.96"
"20054","Lizartza","111.23","108.45","145.22","178.13","263.98","657.71","418.99","381.53","430.65","460.36","470.96","272.59"
"48903","Loiu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.41","7.17","11.92","16.79"
"48058","Mallabia","492.25","601.92","719.43","842.94","962.96","1050.43","1010.16","1130.70","1286.25","370.74","489.93","621.24"
"48060","Markina-Xemein","474.05","533.73","604.43","652.97","518.02","749.75","797.37","869.68","872.19","758.00","433.56","105.53"
"48061","Maruri-Jatabe","473.75","536.53","592.34","620.59","691.05","434.92","507.88","602.55","679.00","228.59","276.70","359.47"
"48059","Mañaria","805.82","1102.17","1336.65","1472.43","1656.92","1646.02","2258.06","310.45","351.02","396.23","903.65","969.03"
"20901","Mendaro","193.02","268.36","343.66","419.07","497.67","739.83","735.24","889.87","1036.91","1117.48","1183.12","1142.58"
"48062","Mendata","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.96"
"48063","Mendexa","245.60","334.07","288.86","332.55","673.52","299.19","334.56","389.55","428.74","449.99","476.19","0.00"
"48064","Meñaka","0.00","0.00","0.00","0.00","367.77","194.94","286.38","399.74","464.40","0.00","0.00","0.00"
"01039","Moreda de Álava / Moreda Araba","196.58","291.55","385.50","465.14","441.77","578.25","710.31","694.35","754.91","313.04","306.32","280.74"
"48066","Morga","148.00","223.57","289.76","378.89","445.26","507.66","588.19","662.71","43.82","102.75","162.98","214.80"
"48068","Mundaka","652.58","737.56","451.73","492.31","877.26","540.48","201.69","229.16","249.62","267.30","289.98","308.42"
"48069","Mungia","89.11","112.75","136.25","178.27","212.16","239.00","246.78","0.00","0.00","0.00","0.00","2.01"
"48007","Munitibar-Arbatzegi Gerrikaitz-","0.00","76.05","155.46","242.66","768.15","421.77","503.97","600.33","697.10","783.43","789.67","0.00"
"48908","Murueta","0.00","0.00","0.00","0.00","0.00","0.00","552.80","554.59","561.86","2137.43","2297.16","2237.08"
"48071","Muskiz","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20057","Mutiloa","1187.95","1330.99","1511.67","1721.48","1930.89","492.76","677.59","820.04","1122.10","1370.08","1824.30","2168.17"
"20056","Mutriku","736.37","866.30","1033.42","1030.17","1155.70","1436.21","1265.52","1097.75","1053.38","1157.68","975.44","898.65"
"48067","Muxika","71.23","90.44","2.92","15.92","42.65","41.63","53.83","66.13","80.80","94.19","107.70","120.43"
"48909","Nabarniz","663.86","906.35","1042.98","1177.48","1216.10","1359.21","1473.25","1596.15","1644.56","1774.40","1815.24","1881.78"
"01041","Navaridas","363.03","473.50","289.67","678.88","784.04","948.45","902.32","990.35","1132.85","558.19","773.45","916.08"
"20063","Oiartzun","541.41","696.52","366.43","758.06","771.94","788.95","543.43","456.18","539.12","631.25","728.84","675.48"
"01042","Okondo","68.72","117.99","168.54","218.36","425.97","504.19","580.06","368.00","462.17","431.99","377.24","434.64"
"20058","Olaberria","0.00","197.98","560.13","609.50","703.31","863.84","830.70","842.54","969.77","1066.36","1151.72","1210.25"
"48073","Ondarroa","0.00","0.00","0.24","0.24","0.00","0.24","10.06","32.07","53.65","73.86","93.66","115.03"
"20076","Ordizia","382.41","384.48","305.99","313.48","353.99","407.91","520.47","522.44","605.61","595.67","315.38","316.30"
"20905","Orendain","954.07","1022.13","1287.87","1570.59","537.63","59.76","124.74","0.00","0.00","0.00","0.00","0.00"
"20060","Orexa","0.00","0.00","1658.27","426.05","491.80","890.13","746.27","649.85","2253.85","937.50","1011.24","1058.82"
"20061","Orio","0.00","0.00","0.00","0.00","0.00","19.46","71.11","0.00","0.00","0.00","0.00","702.93"
"20062","Ormaiztegi","121.17","138.08","5496.96","171.69","184.85","374.17","288.30","229.36","230.59","18.90","75.20","104.47"
