"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006"
"20063","Oiartzun","0.80","1.63","1.63","1.63","1.63","1.63","1.62","1.79","1.90","1.65","1.65"
"01042","Okondo","0.34","0.34","0.34","0.34","0.34","0.34","0.35","0.35","0.35","0.18","0.18"
"20058","Olaberria","2.66","1.42","1.42","1.43","1.43","1.44","1.89","1.89","1.89","1.89","1.89"
"48073","Ondarroa","1.24","1.24","1.24","1.25","1.25","1.52","1.23","1.23","0.69","0.69","0.69"
"20076","Ordizia","1.55","1.55","1.55","1.57","1.57","1.56","1.75","1.75","1.74","1.74","1.74"
"20905","Orendain","0.36","0.36","0.36","0.35","0.35","0.36","0.36","0.47","0.47","0.47","0.47"
"20060","Orexa","0.15","0.15","0.15","0.15","0.15","0.15","0.16","0.58","0.58","0.58","0.58"
"20061","Orio","1.77","1.77","1.77","1.77","1.67","1.62","1.62","1.62","1.31","1.31","2.13"
"20062","Ormaiztegi","2.15","2.15","2.15","2.14","2.14","2.33","2.29","2.29","2.29","5.45","5.47"
"48075","Orozko","1.08","1.08","1.08","1.08","1.08","1.07","1.07","1.07","1.07","1.07","1.07"
"48083","Ortuella","4.08","4.08","4.08","4.08","4.08","4.24","4.24","4.24","4.29","4.29","4.29"
"48072","Otxandio","2.09","2.09","2.18","1.82","1.82","1.82","1.82","0.86","0.81","0.81","0.00"
"01043","Oyón-Oion","0.50","0.50","0.50","0.50","0.50","0.31","0.31","0.31","0.31","0.31","0.31"
"20059","Oñati","0.27","0.27","0.27","0.27","0.27","0.27","0.26","0.26","0.24","0.24","0.24"
"20064","Pasaia","0.53","0.53","0.53","0.53","0.53","0.49","0.75","0.75","0.75","0.75","0.75"
"01044","Peñacerrada-Urizaharra","0.33","0.33","0.33","0.36","0.36","0.35","0.35","0.35","0.35","0.35","0.35"
"48077","Plentzia","1.08","1.08","1.08","1.08","1.05","1.06","0.98","0.98","1.21","1.21","1.21"
"48078","Portugalete","16.05","16.05","15.72","15.72","15.72","12.04","12.04","12.04","12.24","6.74","6.74"
