"Udalerri kodea","Udalerria","2015","2014","2013","2011","2010","2006","2001","1996","1991"
"48055","Lemoa","41.00","40.10","39.10","37.90","39.40","38.47","42.06","45.44","48.61"
"48056","Lemoiz","32.30","32.00","31.00","32.20","35.90","34.67","30.38","30.14","49.04"
"01034","Leza","66.60","65.70","64.80","64.00","61.40","57.42","50.16","44.34","35.30"
"48081","Lezama","39.90","38.90","37.80","37.10","35.40","32.36","31.92","30.65","24.57"
"20053","Lezo","39.20","38.10","36.80","35.90","35.00","31.92","28.82","26.83","72.29"
"20054","Lizartza","46.70","45.80","44.80","43.50","41.90","39.05","39.29","44.19","24.60"
"48903","Loiu","38.90","38.00","37.00","36.20","35.90","39.54","40.74","43.01","37.34"
"48058","Mallabia","47.10","46.30","45.40","44.50","42.30","38.87","40.55","39.37","32.49"
"48060","Markina-Xemein","39.90","38.90","38.10","36.80","35.40","34.82","34.42","31.71","33.14"
"48061","Maruri-Jatabe","61.20","60.20","58.90","57.50","57.90","55.28","50.86","70.76","44.36"
"48059","Mañaria","42.40","41.00","40.00","39.40","39.90","37.95","38.73","32.17","36.99"
"20901","Mendaro","38.80","37.80","36.90","34.60","34.20","36.24","38.37","38.24","41.18"
"48062","Mendata","63.00","62.10","61.00","60.80","58.50","55.69","49.70","52.92","47.14"
"48063","Mendexa","48.80","48.00","47.20","46.50","44.90","43.60","36.62","30.77","29.24"
"48064","Meñaka","39.90","38.90","37.90","36.40","38.20","35.10","28.66","34.76","33.05"
"01039","Moreda de Álava / Moreda Araba","60.80","59.70","58.70","57.60","53.10","47.06","46.17","40.06","52.74"
"48066","Morga","61.70","60.90","59.70","58.80","57.40","55.75","68.14","53.84","59.24"
"48068","Mundaka","52.80","51.80","51.00","49.80","48.30","46.04","42.97","41.13","39.76"
"48069","Mungia","33.30","32.40","31.60","30.90","29.50","27.68","26.40","24.54","23.60"
"48007","Munitibar-Arbatzegi Gerrikaitz-","50.00","49.20","48.40","46.10","47.40","52.21","45.57","41.19","46.81"
"48908","Murueta","36.20","35.20","34.30","33.70","32.40","32.97","31.18","36.40","35.92"
"48071","Muskiz","40.70","39.70","38.70","37.80","37.10","35.92","36.56","34.59","33.60"
"20057","Mutiloa","45.00","44.10","41.30","40.50","40.50","37.65","45.20","50.63","101.31"
"20056","Mutriku","36.00","35.00","33.90","33.70","35.70","32.75","31.60","25.66","29.87"
"48067","Muxika","46.70","45.90","45.00","44.70","44.40","45.22","45.32","35.97","41.58"
"48909","Nabarniz","65.50","65.00","63.60","65.80","67.20","69.39","66.97","66.65","53.20"
"01041","Navaridas","61.80","61.60","60.60","59.60","57.40","55.93","49.87","47.92","49.97"
"20063","Oiartzun","36.70","36.80","35.70","34.90","33.70","32.20","44.24","27.81","29.04"
"01042","Okondo","34.30","33.30","32.90","32.00","32.40","36.08","45.69","32.04","53.32"
"20058","Olaberria","49.80","48.80","47.70","47.60","47.00","44.81","45.74","43.38","34.92"
"48073","Ondarroa","48.00","47.10","46.10","45.70","45.10","43.36","38.74","35.90","37.11"
"20076","Ordizia","43.10","42.10","41.70","41.80","40.60","37.93","36.18","33.36","35.84"
"20905","Orendain","34.40","33.40","32.80","36.60","34.60","33.58","38.69","33.52","56.20"
"20060","Orexa","45.90","44.90","43.90","42.80","45.30","41.81","41.00","29.69","67.63"
"20061","Orio","31.50","30.50","30.20","29.90","29.30","26.46","24.94","27.26","36.87"
"20062","Ormaiztegi","42.80","41.80","40.80","39.80","39.20","36.49","36.08","33.33","31.89"
"48075","Orozko","38.60","37.30","36.40","36.90","37.90","35.20","33.55","31.80","50.00"
"48083","Ortuella","42.70","42.10","42.20","42.10","41.40","38.73","35.02","31.26","35.59"
"48072","Otxandio","56.10","55.20","54.20","52.90","54.50","51.60","57.98","55.37","30.61"
"01043","Oyón-Oion","34.10","33.30","32.70","32.00","32.00","29.57","34.00","28.85","29.99"
"20059","Oñati","41.00","40.10","39.50","38.90","39.00","39.18","35.07","31.80","31.05"
"20064","Pasaia","50.10","50.60","50.40","49.30","47.80","45.12","43.14","38.06","37.41"
"01044","Peñacerrada-Urizaharra","45.30","44.50","44.20","45.00","44.00","42.56","43.24","32.84","76.78"
"48077","Plentzia","39.60","38.80","37.80","37.00","36.00","33.85","31.24","31.09","38.09"
"48078","Portugalete","44.60","43.60","42.70","41.70","40.60","38.45","34.21","30.10","26.99"
"01047","Ribera Baja/Erribera Beitia","42.40","41.40","40.30","38.90","39.80","39.56","46.59","58.51","40.02"
"01051","Salvatierra/Agurain","30.40","29.40","28.40","28.70","30.00","29.86","30.82","30.33","28.87"
"01052","Samaniego","38.90","39.90","38.30","37.20","36.20","34.26","37.60","33.04","54.34"
"01053","San Millán/Donemiliaga","81.80","81.10","80.10","80.50","81.90","80.56","79.80","74.15","34.05"
"48082","Santurtzi","41.20","40.30","39.30","38.60","37.20","35.04","33.51","29.56","26.02"
"20070","Segura","34.10","33.20","32.00","30.90","30.40","29.07","29.70","27.78","66.59"
"48084","Sestao","51.60","50.60","49.60","48.70","47.20","44.92","40.08","35.59","36.40"
"48904","Sondika","37.90","36.90","35.80","36.60","34.90","32.97","33.21","32.35","35.02"
"48085","Sopela","32.10","31.30","30.70","30.00","28.90","26.63","24.30","22.17","18.68"
"48086","Sopuerta","50.60","49.40","48.70","48.90","50.20","48.15","45.23","41.97","38.06"
"20065","Soraluze-Placencia de las Armas","44.90","43.80","43.40","42.20","41.10","38.92","37.15","35.29","38.55"
"48076","Sukarrieta","40.60","40.30","39.50","40.50","39.80","36.62","31.60","27.72","37.03"
"20071","Tolosa","47.60","46.70","46.30","45.90","47.70","45.46","41.98","39.77","38.77"
"48087","Trucios-Turtzioz","57.20","56.20","55.20","54.70","53.00","55.21","89.49","46.89","42.94"
"48088","Ubide","45.50","43.00","41.60","41.50","41.80","37.92","44.84","39.24","35.85"
"48065","Ugao-Miraballes","38.90","37.70","37.40","36.90","34.40","33.19","29.73","26.34","25.35"
"48089","Urduliz","28.80","28.30","28.50","29.60","29.40","29.82","26.74","25.40","25.61"
"48074","Urduña/Orduña","36.40","35.60","34.50","35.90","34.30","32.32","31.55","31.22","46.52"
"01054","Urkabustaiz","42.70","41.80","41.20","41.50","44.40","45.38","43.64","46.02","30.63"
"20072","Urnieta","32.00","31.00","30.00","29.00","27.40","25.57","23.72","20.27","26.63"
"20077","Urretxu","39.60","38.70","37.60","36.50","35.20","33.36","31.10","28.64","27.96"
"20073","Usurbil","36.60","35.50","35.10","35.00","33.50","32.33","32.93","27.29","28.35"
"01055","Valdegovía/Gaubea","65.50","64.60","64.10","64.20","64.50","62.19","63.36","57.85","76.17"
"48080","Valle de Trápaga-Trapagaran","48.20","47.20","46.20","45.80","44.90","42.27","40.24","36.99","32.04"
"20075","Villabona","37.50","36.50","35.40","34.20","32.90","31.49","29.47","26.65","29.53"
"01057","Villabuena de Álava/Eskuernaga","49.30","48.60","47.30","47.40","46.40","43.32","36.89","33.68","42.41"
"01059","Vitoria-Gasteiz","31.50","30.60","29.90","29.70","29.60","28.53","27.04","24.15","22.42"
"01060","Yécora/Iekora","58.20","56.90","56.60","54.70","53.70","52.54","50.85","41.57","31.03"
"48095","Zaldibar","40.30","38.80","37.80","37.30","37.50","37.19","31.95","30.05","28.93"
"20078","Zaldibia","43.40","43.70","43.20","42.30","42.00","40.85","36.66","34.75","38.07"
"01061","Zalduondo","50.70","49.70","47.10","45.00","46.70","41.63","85.12","33.27","53.41"
"48096","Zalla","38.60","37.70","36.80","35.90","35.40","33.56","31.29","28.54","27.65"
"01062","Zambrana","60.50","59.40","58.70","57.90","66.80","62.62","63.56","57.13","64.66"
"48905","Zamudio","43.10","42.20","41.10","40.10","39.10","36.57","35.98","36.47","39.69"
"48097","Zaratamo","45.70","44.80","43.80","42.90","41.70","39.56","37.40","38.15","39.01"
"20079","Zarautz","39.00","37.90","37.10","36.20","34.60","31.37","27.17","26.16","25.91"
"48024","Zeanuri","57.50","56.60","55.60","54.90","55.00","51.92","61.77","49.47","50.01"
"48025","Zeberio","52.10","51.10","50.30","50.40","48.10","44.67","41.67","42.86","43.46"
