"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"20041","Hernialde","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","15.67","58.25","66.67","68.49","100.35"
"20036","Hondarribia","6.16","14.25","14.56","21.40","27.09","28.76","16.85","21.61","20.32","20.61","31.00","62.35","62.03"
"20042","Ibarra","0.00","0.00","0.00","11.14","11.37","11.37","13.71","13.92","9.25","9.00","13.16","23.51","24.25"
"48048","Ibarrangelu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.81","1.83","3.73","7.53"
"20043","Idiazabal","0.00","0.00","0.00","0.00","0.45","34.72","43.22","47.93","48.62","14.73","42.37","57.02","96.81"
"48094","Igorre","4.00","11.07","11.08","10.64","13.11","11.31","17.72","19.14","29.43","27.63","53.63","52.78","59.84"
"20044","Ikaztegieta","4.25","4.28","4.27","4.28","0.00","0.00","13.48","13.95","48.19","95.00","99.22","128.61","128.95"
"20045","Irun","14.53","14.67","11.42","13.69","12.23","10.25","10.13","14.58","17.84","16.02","22.15","33.70","37.87"
"20046","Irura","0.00","0.00","37.43","38.61","62.16","65.95","155.91","141.56","163.30","154.42","187.69","89.23","193.66"
"01027","Iruraiz-Gauna","21.07","26.77","21.19","21.44","27.94","28.63","45.55","56.60","61.44","45.06","62.91","48.67","49.77"
"01901","Iruña Oka/Iruña de Oca","11.02","11.83","12.00","40.53","33.11","51.59","96.95","133.74","124.40","178.19","177.42","132.59","118.27"
"48049","Ispaster","5.70","7.19","7.29","2.96","10.61","67.90","105.02","109.70","137.32","91.06","70.26","31.10","31.05"
"20047","Itsasondo","0.00","0.00","0.00","0.00","3.11","12.74","45.98","62.71","67.59","92.82","100.18","64.46","49.57"
"48910","Iurreta","0.26","0.00","0.00","0.00","21.34","21.82","21.83","21.86","21.54","0.49","0.48","0.24","0.00"
"48050","Izurtza","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.86","3.83","45.63","56.82"
"48022","Karrantza Harana/Valle de Carranza","9.70","11.11","25.05","43.14","66.98","68.54","99.68","86.50","69.95","46.16","44.67","13.61","18.18"
"48907","Kortezubi","17.98","20.64","18.78","14.32","14.46","7.37","7.48","15.27","12.99","21.00","50.26","55.56","55.85"
"01019","Kripan","0.00","0.00","0.00","10.36","10.47","26.46","26.46","37.23","37.04","57.89","52.91","53.19","47.87"
"01020","Kuartango","2.80","0.00","0.00","5.62","5.62","5.59","11.17","11.11","8.29","8.22","8.17","13.51","16.13"
"01028","Labastida/Bastida","0.67","7.42","8.76","16.79","30.34","40.00","39.75","53.96","64.17","68.15","63.73","71.43","64.23"
"01030","Lagrán","11.63","11.43","11.11","16.30","21.51","15.96","20.94","26.04","46.63","77.72","92.31","86.29","96.45"
"01031","Laguardia","24.80","24.18","24.85","26.90","16.53","22.01","33.47","36.29","51.39","51.63","75.45","76.18","88.17"
"01032","Lanciego/Lantziego","0.00","0.00","0.00","2.92","8.76","23.43","36.98","73.24","93.66","110.94","100.92","88.96","72.09"
"48051","Lanestosa","0.00","89.89","88.24","87.27","85.41","84.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01902","Lantarón","9.74","9.61","7.39","8.45","14.68","14.58","33.30","37.82","41.05","38.87","45.79","39.54","43.80"
"01033","Lapuebla de Labarca","0.00","0.00","0.00","20.59","22.73","30.86","41.24","44.98","50.12","59.51","62.72","62.57","58.76"
"48052","Larrabetzu","0.00","0.00","1.03","2.62","3.76","3.87","9.13","45.24","72.51","81.95","93.01","160.76","142.95"
"20048","Larraul","0.00","0.00","0.00","0.00","0.00","0.00","61.90","189.74","204.42","217.65","225.61","215.19","66.23"
"20902","Lasarte-Oria","17.39","26.40","24.92","25.02","20.94","27.23","7.70","13.82","14.86","9.20","21.50","30.97","39.49"
"01036","Laudio/Llodio","0.54","0.70","0.76","0.65","21.55","30.91","43.32","49.35","49.84","28.97","29.13","19.15","21.05"
"48053","Laukiz","27.15","27.31","30.22","33.42","52.04","58.37","62.75","76.08","81.14","36.44","34.24","32.39","21.38"
"20049","Lazkao","31.19","27.08","25.90","39.14","22.18","25.84","30.29","34.70","18.78","32.33","29.45","44.40","51.83"
"20050","Leaburu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","10.72","10.81","16.35","16.44","58.01"
"20051","Legazpi","6.15","7.97","14.17","18.41","13.24","17.29","15.70","21.95","17.67","24.16","35.47","34.21","31.43"
"20052","Legorreta","2.70","2.68","0.00","0.00","1.35","54.87","66.95","79.55","91.95","48.59","78.10","66.18","58.40"
"01058","Legutio","1.16","33.31","34.14","37.72","100.31","115.07","96.82","127.20","129.91","70.89","60.94","64.79","53.76"
"20068","Leintz-Gatzaga","0.00","0.00","0.00","0.00","11.41","11.54","11.67","11.81","12.00","0.00","0.00","0.00","0.00"
"48054","Leioa","31.06","33.60","30.25","30.03","39.06","32.75","34.83","55.27","53.74","36.10","38.50","33.33","15.79"
"48057","Lekeitio","0.82","0.41","0.40","3.49","3.49","8.62","9.20","17.26","18.42","20.60","16.72","18.69","17.95"
