"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007"
"01034","Leza","2.37","2.37","2.37","2.70","2.75","2.34","2.34","2.34","2.30","2.73"
"48081","Lezama","10.54","6.06","6.06","6.08","11.97","11.59","11.59","11.59","11.80","6.82"
"20053","Lezo","17.39","17.43","17.44","17.32","15.76","14.95","15.75","15.31","15.81","15.76"
"20054","Lizartza","1.83","1.83","1.83","1.85","1.78","1.76","1.73","1.73","1.82","2.73"
"48903","Loiu","36.08","36.08","35.98","35.99","35.86","30.50","38.52","38.40","38.24","39.50"
"48058","Mallabia","4.35","4.36","4.36","4.31","4.35","4.30","4.30","4.30","4.26","4.26"
"48060","Markina-Xemein","2.11","2.11","2.10","2.11","1.98","1.93","1.95","1.95","1.96","1.96"
"48061","Maruri-Jatabe","2.99","2.99","2.94","2.98","2.93","2.94","2.96","2.96","4.03","4.03"
"48059","Mañaria","1.16","1.16","1.16","1.33","1.20","1.20","1.20","1.20","1.20","1.20"
"20901","Mendaro","2.01","2.01","2.01","2.00","2.00","1.99","2.07","2.07","2.56","2.57"
"48062","Mendata","0.97","0.97","0.97","0.97","0.95","0.96","0.96","0.96","1.06","1.02"
"48063","Mendexa","3.71","3.71","3.71","3.87","4.48","4.49","4.21","3.60","3.60","3.60"
"48064","Meñaka","5.80","1.62","1.62","1.62","1.69","1.64","1.70","1.70","1.53","1.48"
"01039","Moreda de Álava / Moreda Araba","3.28","3.28","3.28","3.20","3.01","3.02","3.01","3.01","3.08","2.60"
"48066","Morga","1.54","1.43","1.43","1.43","1.50","1.51","1.43","1.43","1.43","1.43"
"48068","Mundaka","13.15","12.69","12.69","12.82","14.92","14.00","14.40","14.33","14.26","14.26"
"48069","Mungia","17.52","17.51","17.51","17.40","17.65","16.86","17.51","17.51","17.43","17.67"
"48007","Munitibar-Arbatzegi Gerrikaitz-","1.38","1.38","1.38","1.37","1.30","1.31","1.31","1.31","1.38","1.38"
"48908","Murueta","4.71","4.71","4.71","4.77","5.35","5.18","4.67","4.67","4.67","4.67"
"48071","Muskiz","18.18","18.18","18.18","18.40","18.39","18.48","17.47","17.47","17.22","17.22"
"20057","Mutiloa","3.46","3.46","3.46","3.47","3.57","3.58","3.22","3.22","3.22","3.22"
"20056","Mutriku","3.74","3.74","3.74","3.70","4.05","3.96","4.04","4.04","4.04","3.18"
"48067","Muxika","2.72","2.72","2.72","2.78","2.85","2.82","2.82","1.65","1.70","1.70"
"48909","Nabarniz","0.83","0.83","0.83","0.81","0.91","0.91","0.88","0.88","0.88","0.88"
"01041","Navaridas","2.02","2.02","2.02","2.00","1.85","1.87","1.39","1.39","1.37","1.37"
"20063","Oiartzun","5.59","6.75","6.75","6.63","6.90","6.82","6.79","7.52","7.64","6.42"
"01042","Okondo","1.76","1.76","1.77","1.74","1.74","1.75","1.76","1.76","1.76","4.45"
"20058","Olaberria","14.61","11.76","11.76","11.80","12.34","12.45","12.00","12.00","12.00","12.00"
"48073","Ondarroa","17.51","17.51","17.48","21.15","22.97","27.89","22.93","18.75","18.27","17.88"
"20076","Ordizia","23.82","23.82","23.82","23.61","23.06","22.74","22.93","22.93","22.93","22.93"
"20905","Orendain","1.14","1.14","1.14","1.20","1.20","1.22","1.22","1.35","1.35","1.33"
"20060","Orexa","0.83","0.83","0.83","0.85","0.92","0.92","0.93","1.34","1.34","1.34"
"20061","Orio","8.14","8.14","8.08","8.07","7.87","7.73","7.73","7.72","7.60","7.61"
"20062","Ormaiztegi","9.78","9.78","9.78","9.72","9.72","10.94","10.78","10.78","10.97","12.13"
"48075","Orozko","1.94","1.94","1.95","1.96","1.98","1.97","1.97","1.96","1.96","1.96"
"48083","Ortuella","35.73","35.73","35.73","35.34","34.83","36.14","36.14","36.14","35.91","36.06"
"48072","Otxandio","5.95","5.95","6.00","5.91","5.91","5.89","4.54","5.85","5.79","5.79"
"01043","Oyón-Oion","5.98","5.98","5.98","5.93","5.93","4.65","4.62","4.62","4.62","4.62"
"20059","Oñati","3.49","3.49","3.49","3.44","3.37","3.38","3.35","3.35","3.32","3.39"
"20064","Pasaia","14.09","14.09","14.03","13.70","13.74","13.08","16.18","16.18","16.21","16.21"
"01044","Peñacerrada-Urizaharra","1.24","1.24","1.24","1.31","1.33","1.32","1.32","1.32","1.32","1.32"
"48077","Plentzia","22.66","22.66","22.66","22.01","21.09","21.64","19.92","19.92","20.14","20.19"
"48078","Portugalete","73.79","73.79","73.82","73.45","72.95","76.56","76.56","76.56","76.72","70.91"
"01047","Ribera Baja/Erribera Beitia","18.47","18.47","18.47","18.34","17.39","15.95","15.95","15.95","15.94","15.94"
"01051","Salvatierra/Agurain","10.05","10.05","10.15","10.19","10.82","9.24","9.24","9.24","9.24","9.24"
"01052","Samaniego","3.25","3.25","3.25","3.24","2.58","2.57","2.57","2.57","2.54","2.54"
"01053","San Millán/Donemiliaga","2.79","2.79","2.79","2.79","2.90","2.89","2.89","2.77","2.77","2.77"
"48082","Santurtzi","57.53","57.53","57.88","60.14","60.31","73.01","103.84","67.62","66.87","66.87"
"20070","Segura","3.49","3.49","3.49","3.49","3.30","3.34","3.30","3.30","3.33","3.16"
"48084","Sestao","79.94","79.97","79.97","80.50","82.77","85.37","85.37","85.37","85.17","85.17"
"48904","Sondika","41.36","41.36","41.36","41.37","41.48","44.71","43.38","43.51","43.52","43.52"
"48085","Sopela","32.18","32.20","32.20","32.00","31.91","31.57","31.57","31.57","31.74","31.75"
"48086","Sopuerta","2.73","2.73","2.74","2.71","2.68","2.66","2.66","2.65","2.71","2.71"
"20065","Soraluze-Placencia de las Armas","3.96","3.96","3.96","3.91","3.83","3.80","3.93","3.93","3.70","3.70"
"48076","Sukarrieta","15.00","15.00","15.00","15.00","16.92","11.48","11.48","11.48","11.43","11.43"
"20071","Tolosa","7.11","7.11","7.02","6.75","7.05","7.04","6.95","6.32","6.31","6.29"
"48087","Trucios-Turtzioz","1.03","1.03","1.03","1.00","0.97","0.97","0.97","0.97","1.01","1.01"
"48088","Ubide","3.61","3.61","3.61","3.64","3.64","3.52","3.52","3.52","3.28","3.28"
"48065","Ugao-Miraballes","15.12","15.12","15.12","14.74","14.25","14.40","14.40","14.40","14.50","13.85"
"48089","Urduliz","17.35","16.79","16.79","16.67","16.74","16.73","16.73","16.58","16.58","16.27"
"48074","Urduña/Orduña","8.13","8.13","8.13","8.02","7.97","7.93","7.93","7.93","8.03","8.04"
"01054","Urkabustaiz","2.49","2.62","2.62","2.65","2.66","2.68","2.68","2.68","2.70","2.70"
"20072","Urnieta","8.46","8.47","8.47","5.02","4.87","4.79","4.82","4.82","4.85","4.85"
"20077","Urretxu","10.89","10.89","10.89","10.52","10.57","8.27","8.11","8.11","8.11","8.09"
"20073","Usurbil","8.84","8.84","8.84","10.21","10.19","9.77","11.26","11.26","11.35","11.24"
"01055","Valdegovía/Gaubea","1.24","1.24","1.24","1.24","1.26","1.23","1.26","1.26","1.26","1.27"
"48080","Valle de Trápaga-Trapagaran","27.49","25.25","25.25","24.87","24.01","23.55","23.55","23.77","23.76","23.76"
"20075","Villabona","5.88","5.88","5.88","4.65","4.64","4.62","4.62","4.80","4.82","4.82"
"01057","Villabuena de Álava/Eskuernaga","2.91","2.91","2.91","2.86","2.02","2.01","2.01","2.01","2.00","2.00"
"01059","Vitoria-Gasteiz","23.70","23.70","23.70","23.66","25.82","25.70","26.40","26.01","26.00","25.91"
"01060","Yécora/Iekora","1.27","1.27","1.27","1.27","1.27","1.26","1.26","1.26","1.26","1.26"
"48095","Zaldibar","8.18","8.22","8.22","8.14","8.37","8.28","8.14","8.14","7.75","7.95"
"20078","Zaldibia","1.64","1.64","1.64","1.61","1.57","1.62","1.93","1.90","1.90","1.88"
"01061","Zalduondo","1.87","1.87","1.87","1.82","1.77","1.78","1.78","1.78","1.78","1.78"
"48096","Zalla","7.44","7.44","7.44","7.40","16.22","16.41","16.41","16.41","16.52","16.54"
"01062","Zambrana","2.53","2.53","2.53","2.54","2.31","2.32","2.32","1.78","1.78","1.78"
"48905","Zamudio","24.49","24.40","24.40","24.69","25.10","25.17","22.76","22.76","22.46","19.71"
"48097","Zaratamo","8.87","7.17","7.17","7.04","6.09","6.19","6.19","5.93","6.09","6.09"
"20079","Zarautz","19.09","19.09","19.02","19.10","19.78","19.70","19.87","19.87","17.60","17.60"
"48024","Zeanuri","0.81","0.81","0.81","0.80","0.73","0.73","0.71","0.71","0.65","0.65"
"48025","Zeberio","0.57","0.57","0.57","0.56","0.56","0.57","0.57","0.57","0.58","1.56"
"20025","Zegama","1.23","1.23","1.23","1.26","1.34","1.34","1.28","1.28","1.28","1.36"
"20026","Zerain","1.30","1.30","1.30","1.29","1.29","1.27","1.23","1.23","0.91","0.91"
"20027","Zestoa","3.40","3.40","3.40","3.40","3.84","3.84","4.19","4.19","4.19","3.53"
"48913","Zierbena","43.20","43.20","43.20","41.76","41.58","53.45","60.06","38.46","38.48","38.48"
"01018","Zigoitia","3.37","3.37","3.37","3.31","3.19","3.20","3.21","3.18","3.23","3.23"
"48915","Ziortza-Bolibar","1.99","1.99","1.99","1.97","1.97","2.01","1.96","2.17","0.54","0.54"
"20028","Zizurkil","4.22","4.22","4.26","4.04","4.04","3.34","3.36","3.58","3.65","3.58"
"01063","Zuia","3.15","3.15","3.15","3.07","3.06","3.06","3.06","3.06","3.05","3.05"
"20081","Zumaia","19.15","19.16","19.11","18.99","19.05","18.10","18.28","18.28","18.26","18.26"
"20080","Zumarraga","8.30","8.30","8.32","8.17","9.10","8.06","8.15","8.11","8.03","6.96"
