"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Elgeta",NA,NA,NA,NA,NA,"5.06","3.94","2.93","2.9","2.85","2.85","2.81","1.83","2.7","3.59","2.65","2.68","3.59",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Elgoibar",NA,NA,NA,NA,NA,"7.47","8.36","8.57","9.08","9.57","9.39","9.45","9.26","8.86","8.33","7.82","7.54","7.25",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Elorrio",NA,NA,NA,NA,NA,"6.03","6.2","6.19","6.19","6.17","6.59","6.37","5.93","5.37","4.95","4.82","4.69","4.53",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Elvillar/Bilar",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Erandio",NA,NA,NA,NA,NA,"6.92","7.11","7.07","7.39","7.76","8.18","8.57","8.24","8.11","8.23","7.83","7.54","7.55",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Ereño",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Ermua",NA,NA,NA,NA,NA,"7.5","8.35","8.24","8.35","8.85","8.67","9.05","8.5","8.29","8.11","7.85","7.4","6.98",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Errenteria",NA,NA,NA,NA,NA,"7.19","7.37","7.61","8.61","8.93","8.75","8.31","7.95","7.46","7.23","7.24","7.18","7.07",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Errezil",NA,NA,NA,NA,NA,"0","0","0","0","1.59","1.59","1.59","1.63","1.63","4.9","5","5.05","3.36",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Erriberagoitia/Ribera Alta",NA,NA,NA,NA,NA,"3.48","5.15","5.05","4.67","4.32","4.32","1.37","1.31","1.27","1.27","1.32","1.31","1.32",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
