"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Hernani",NA,NA,NA,NA,NA,NA,NA,"188.4","204.43","203.79","203.84",NA,NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Hernialde",NA,NA,NA,NA,NA,NA,NA,"71.86","71.86","96.21","95.38","94.83",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Hondarribia",NA,NA,NA,NA,NA,NA,NA,"170.47","168.86","172.54","171.1","171.89",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Ibarra",NA,NA,NA,NA,NA,NA,NA,"223.31","235.43","237.32","237.6","237.05",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Ibarrangelu",NA,NA,NA,NA,NA,NA,NA,"249.13","241.15","186.58","191.56","192.18",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Idiazabal",NA,NA,NA,NA,NA,NA,NA,"242.38","251.49","253.16","247.35","247.68",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Igorre",NA,NA,NA,NA,NA,NA,NA,"159.78","175.56","188.85","185.46","190.14",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Ikaztegieta",NA,NA,NA,NA,NA,NA,NA,"256.07","309.89","307.19","303.23","300",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Irun",NA,NA,NA,NA,NA,NA,NA,"120.31","130.76","131.33","134.63","139.49",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Irura",NA,NA,NA,NA,NA,NA,NA,"347.86","330.71","315.94","237.62","234.62",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Iruraiz-Gauna",NA,NA,NA,NA,NA,NA,NA,"514.77","505.18","537.04","547.67","542.07",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Iruña Oka/Iruña de Oca",NA,NA,NA,NA,NA,NA,NA,"122.69","119.44","107.03","103.94",NA,NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
