"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Galdames",NA,NA,NA,NA,NA,NA,NA,"115.28","114.97","114.97","114.97","1.6",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Gamiz-Fika",NA,NA,NA,NA,NA,NA,NA,"7.08","7.69","7.69","3.51","3.51",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Garai",NA,NA,NA,NA,NA,NA,NA,"83.67","88","88","88","88",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Gatika",NA,NA,NA,NA,NA,NA,NA,"22.28","22.22","32.54","39.42","39.42",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Gautegiz Arteaga",NA,NA,NA,NA,NA,NA,NA,"4.09","4.09","4.09","4.09","4.09",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Gaztelu",NA,NA,NA,NA,NA,NA,NA,"5.15","5.26","5.26","5.26","5.26",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Gernika-Lumo",NA,NA,NA,NA,NA,NA,NA,"9.61","10.98","12.22","14.22","14.56",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Getaria",NA,NA,NA,NA,NA,NA,NA,"115.04","115.28","115.28","34.02","34.02",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Getxo",NA,NA,NA,NA,NA,NA,NA,"11.12","11.3","11.24","11.91","11.91",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Gizaburuaga",NA,NA,NA,NA,NA,NA,NA,"2.45","2.45","2.45","2.34","2.34",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Gordexola",NA,NA,NA,NA,NA,NA,NA,"22.78","25.85","29.66","29.54","291.67",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Gorliz",NA,NA,NA,NA,NA,NA,NA,"29.79","29.8","27.76","27.53","29.25",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Güeñes",NA,NA,NA,NA,NA,NA,NA,"3.69","3.75","2.96","3.07","2.96",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Harana/Valle de Arana",NA,NA,NA,NA,NA,NA,NA,"6.32","6.33","5.41","6.79","6.79",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Hernani",NA,NA,NA,NA,NA,NA,NA,"13.46","16.49","16.83","10.89","10.89",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Hernialde",NA,NA,NA,NA,NA,NA,NA,"14.39","14.29","14.29","14.29","14.29",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Hondarribia",NA,NA,NA,NA,NA,NA,NA,"11.46","11.45","11.56","5.18","5.18",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Ibarra",NA,NA,NA,NA,NA,NA,NA,"4.66","5.33","5.33","5.33","16",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Ibarrangelu",NA,NA,NA,NA,NA,NA,NA,"0.41","0.41","3.67","4.49","4.49",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Idiazabal",NA,NA,NA,NA,NA,NA,NA,"11.82","11.82","13.42","13.42","13.42",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Igorre",NA,NA,NA,NA,NA,NA,NA,"4.9","4.91","18.08","14.85","15.98",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
