"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Berango",NA,NA,NA,NA,NA,"5.13","4.07","3.99","3.66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Berantevilla",NA,NA,NA,NA,NA,"0","0","2.26","2.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Berastegi",NA,NA,NA,NA,NA,"2.01","3.02","2.99","2.99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Bermeo",NA,NA,NA,NA,NA,"11.42","10.99","10.94","9.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Bernedo",NA,NA,NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Berriatua",NA,NA,NA,NA,NA,"3.71","3.51","3.4","3.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Berriz",NA,NA,NA,NA,NA,"5.82","4.85","4.92","6.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Berrobi",NA,NA,NA,NA,NA,"1.75","1.79","3.4","3.41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Bidania-Goiatz",NA,NA,NA,NA,NA,"9.11","8.75","10.78","8.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Bilbao",NA,NA,NA,NA,NA,"9.39","9.19","9.02","8.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Busturia",NA,NA,NA,NA,NA,"9.5","8.76","9.33","8.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Campezo/Kanpezu",NA,NA,NA,NA,NA,"10.14","8.31","8.37","8.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Deba",NA,NA,NA,NA,NA,"4.37","4.17","3.76","3.54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Derio",NA,NA,NA,NA,NA,"5.7","4.77","4.5","3.66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Dima",NA,NA,NA,NA,NA,"5.32","5.25","5.19","4.04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Donostia / San Sebastián",NA,NA,NA,NA,NA,"5.95","5.76","5.55","5.64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Durango",NA,NA,NA,NA,NA,"3.87","3.77","3.7","3.38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Ea",NA,NA,NA,NA,NA,"10.11","11.29","11.85","9.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Eibar",NA,NA,NA,NA,NA,"5.03","5","4.94","4.71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Elantxobe",NA,NA,NA,NA,NA,"6.48","4.39","4.5","13.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Elburgo/Burgelu",NA,NA,NA,NA,NA,"2.21","2.11","2.08","1.91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Elciego",NA,NA,NA,NA,NA,"5.4","5.31","5.36","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Elduain",NA,NA,NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Elgeta",NA,NA,NA,NA,NA,"2.99","3.89","2.94","2.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Elgoibar",NA,NA,NA,NA,NA,"5.99","5.69","5.61","4.77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Elorrio",NA,NA,NA,NA,NA,"4.79","5.22","5.34","5.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Elvillar/Bilar",NA,NA,NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Erandio",NA,NA,NA,NA,NA,"7.01","6.73","6.6","6.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Ereño",NA,NA,NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Ermua",NA,NA,NA,NA,NA,"7.17","7.48","6.98","6.58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Errenteria",NA,NA,NA,NA,NA,"6.06","5.57","5.47","4.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Errezil",NA,NA,NA,NA,NA,"4.94","4.94","1.64","1.58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Erriberagoitia/Ribera Alta",NA,NA,NA,NA,NA,"5.17","3.41","3.32","2.93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Errigoiti",NA,NA,NA,NA,NA,"8.26","8","9.98","7.83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Eskoriatza",NA,NA,NA,NA,NA,"2.83","2.05","2.04","1.77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Etxebarri",NA,NA,NA,NA,NA,"4.92","5.06","5.33","5.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Etxebarria",NA,NA,NA,NA,NA,"2.53","3.7","3.69","3.65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Ezkio-Itsaso",NA,NA,NA,NA,NA,"3.51","3.5","3.64","3.51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Forua",NA,NA,NA,NA,NA,"5.94","6.04","7.18","7.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Fruiz",NA,NA,NA,NA,NA,"2.75","2.64","2.49","9.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Gabiria",NA,NA,NA,NA,NA,"2.39","2.38","2.33","2.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Gaintza",NA,NA,NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Galdakao",NA,NA,NA,NA,NA,"3.61","3.82","3.57","4.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Galdames",NA,NA,NA,NA,NA,"8.66","7.28","8.61","8.44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Gamiz-Fika",NA,NA,NA,NA,NA,"2.39","3.96","3.88","10.91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Garai",NA,NA,NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Gatika",NA,NA,NA,NA,NA,"5.97","6.59","6.34","4.78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Gautegiz Arteaga",NA,NA,NA,NA,NA,"3.41","4.6","4.54","3.44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Gaztelu",NA,NA,NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Gernika-Lumo",NA,NA,NA,NA,NA,"6.1","5.61","5.14","4.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Getaria",NA,NA,NA,NA,NA,"1.99","2.36","1.98","1.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Getxo",NA,NA,NA,NA,NA,"3.9","3.97","4.19","3.71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Gizaburuaga",NA,NA,NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Gordexola",NA,NA,NA,NA,NA,"8.42","8.27","7.55","7.92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Gorliz",NA,NA,NA,NA,NA,"5.47","5.53","4.95","5.99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Güeñes",NA,NA,NA,NA,NA,"4.95","4.74","4.05","3.71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Harana/Valle de Arana",NA,NA,NA,NA,NA,"3.04","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Hernani",NA,NA,NA,NA,NA,"7.93","7.6","6.97","6.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Hernialde",NA,NA,NA,NA,NA,"9.84","6.13","5.99","5.99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Hondarribia",NA,NA,NA,NA,NA,"3.12","2.76","2.92","2.71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Ibarra",NA,NA,NA,NA,NA,"4.8","4.64","4.19","3.04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Ibarrangelu",NA,NA,NA,NA,NA,"7.39","3.51","3.48","5.06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Idiazabal",NA,NA,NA,NA,NA,"3.3","2.78","2.31","3.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Igorre",NA,NA,NA,NA,NA,"3.73","3.44","3.69","4.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Ikaztegieta",NA,NA,NA,NA,NA,"23.26","20.3","19.87","19.78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Irun",NA,NA,NA,NA,NA,"5.84","5.44","5.38","5.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Irura",NA,NA,NA,NA,NA,"0.93","1.8","1.68","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Iruraiz-Gauna",NA,NA,NA,NA,NA,"2.15","2.09","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Iruña Oka/Iruña de Oca",NA,NA,NA,NA,NA,"10.03","9.77","11.08","12.76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Ispaster",NA,NA,NA,NA,NA,"8.13","6.46","6.47","3.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Itsasondo",NA,NA,NA,NA,NA,"5.42","5.31","3.38","6.56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Iurreta",NA,NA,NA,NA,NA,"2.97","2.98","3.08","3.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Izurtza",NA,NA,NA,NA,NA,"3.77","3.95","7.97","24.49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Karrantza Harana/Valle de Carranza",NA,NA,NA,NA,NA,"14.91","11.93","10.22","9.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Kortezubi",NA,NA,NA,NA,NA,"5.38","5.17","5.1","2.48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Kripan",NA,NA,NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Kuartango",NA,NA,NA,NA,NA,"8.24","8.43","8.24","8.38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Labastida/Bastida",NA,NA,NA,NA,NA,"6","4.31","4.88","6.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Lagrán",NA,NA,NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Laguardia",NA,NA,NA,NA,NA,"2.7","2.02","1.35","2.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Lanciego/Lantziego",NA,NA,NA,NA,NA,"7.78","7.58","5.94","4.37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
