"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"48041","Gautegiz Arteaga","3.87","7.39","7.14","7.14","8.66","8.93","5.40","6.25","4.40","2.52","4.66","6.38","1.50"
"20907","Gaztelu","10.00","10.00","2.33","8.51","10.87","8.89","6.38","4.44","2.22","6.25","2.00","4.76","0.00"
"48046","Gernika-Lumo","10.72","11.98","12.78","12.02","11.29","10.01","8.91","8.17","7.72","5.69","6.15","6.64","5.14"
"20039","Getaria","5.33","6.60","6.75","7.07","7.30","7.35","5.39","5.18","4.19","3.68","4.24","3.89","3.49"
"48044","Getxo","7.92","8.67","9.25","9.08","9.08","8.04","7.61","7.03","5.69","4.91","5.12","5.71","5.01"
"48047","Gizaburuaga","3.51","7.02","6.35","1.64","4.69","3.17","4.76","9.52","1.61","1.79","1.92","3.85","2.70"
"48042","Gordexola","8.30","6.95","8.88","10.46","11.41","8.83","7.02","6.42","4.71","4.74","4.99","3.92","4.17"
"48043","Gorliz","10.74","10.58","11.08","9.56","10.02","8.85","8.96","7.38","6.70","5.39","6.05","6.62","5.46"
"48045","Güeñes","13.37","13.97","14.67","15.14","14.50","11.67","11.52","10.46","8.11","6.42","5.67","6.16","5.79"
"01056","Harana/Valle de Arana","4.08","6.12","1.92","5.56","3.51","1.59","1.59","4.35","5.41","4.05","5.63","6.76","3.95"
"20040","Hernani","9.30","9.55","10.69","10.66","10.95","9.91","9.32","8.53","7.00","7.06","7.37","7.52","6.90"
"20041","Hernialde","9.09","7.27","5.22","3.31","5.08","9.92","11.57","8.77","8.93","3.54","3.51","3.64","2.83"
"20036","Hondarribia","8.02","9.36","10.39","9.53","10.04","9.78","8.94","7.64","7.00","6.38","6.50","6.22","4.93"
"20042","Ibarra","11.21","13.07","14.43","13.19","12.76","12.39","11.56","8.78","7.54","6.52","7.27","7.48","5.58"
"48048","Ibarrangelu","9.95","8.90","8.47","7.73","6.99","8.02","9.63","6.94","5.06","2.82","4.71","5.62","5.73"
"20043","Idiazabal","8.84","8.39","8.28","8.26","8.89","9.53","6.75","6.10","4.00","4.65","3.96","5.40","4.47"
"48094","Igorre","10.88","10.73","11.64","12.19","10.91","9.79","8.81","8.98","5.86","4.67","4.89","5.03","3.91"
"20044","Ikaztegieta","9.80","10.46","11.11","9.79","10.42","8.16","5.26","5.19","4.61","9.27","6.25","5.41","3.91"
"20045","Irun","11.76","13.29","13.99","14.05","14.27","13.13","12.43","11.91","10.25","9.22","9.50","9.34","7.30"
"20046","Irura","12.14","10.89","13.52","11.73","10.46","10.63","10.58","8.21","7.57","6.88","7.62","6.17","5.09"
"01027","Iruraiz-Gauna","3.05","4.27","8.86","8.28","7.69","8.07","6.17","3.82","3.85","1.91","1.89","1.32","1.92"
"01901","Iruña Oka/Iruña de Oca","10.09","10.95","11.98","13.94","13.99","10.56","11.04","10.28","6.74","5.84","5.98","6.17","5.52"
"48049","Ispaster","5.56","4.55","5.15","3.96","6.25","5.16","4.50","5.64","6.22","2.60","1.65","1.74","2.33"
"20047","Itsasondo","4.74","8.42","9.33","10.36","11.17","14.00","11.28","9.00","7.46","4.59","3.17","2.82","3.61"
"48910","Iurreta","10.42","11.40","12.47","12.44","11.91","11.19","10.51","11.55","7.48","4.87","5.60","5.84","4.39"
"48050","Izurtza","7.69","7.69","6.67","5.56","8.45","8.11","10.53","14.29","8.11","3.95","4.05","3.90","2.47"
"48022","Karrantza Harana/Valle de Carranza","13.49","13.99","11.90","11.43","13.88","11.46","9.34","8.77","5.53","6.92","4.66","6.17","6.63"
"48907","Kortezubi","2.26","6.77","8.57","5.11","6.72","6.11","4.62","6.15","3.91","2.34","2.36","2.42","2.48"
"01019","Kripan","1.85","0.00","3.70","3.64","3.45","0.00","0.00","1.92","1.85","4.08","2.00","0.00","1.85"
"01020","Kuartango","6.93","5.94","10.10","7.29","9.28","4.12","4.21","6.32","4.35","3.33","0.00","1.09","1.12"
"01028","Labastida/Bastida","14.48","12.69","14.06","14.29","15.61","12.61","9.21","8.72","6.25","3.60","2.77","4.35","2.74"
"01030","Lagrán","4.76","7.14","2.27","4.44","2.08","4.00","4.17","2.04","1.92","1.92","0.00","2.04","2.04"
"01031","Laguardia","6.40","8.83","8.12","7.92","8.81","7.68","5.75","7.55","5.44","4.26","4.33","3.29","2.90"
"01032","Lanciego/Lantziego","11.76","15.51","17.65","13.23","10.05","8.02","5.38","4.74","6.38","2.02","2.56","2.54","4.74"
"48051","Lanestosa","16.44","12.33","12.16","7.25","8.22","5.80","4.29","3.95","2.47","0.00","1.19","5.06","7.79"
"01902","Lantarón","7.82","7.41","9.24","6.61","8.94","6.37","6.15","4.28","5.30","1.97","3.28","4.36","0.34"
"01033","Lapuebla de Labarca","12.90","13.71","14.34","12.74","11.69","10.00","6.90","9.73","7.89","5.23","5.93","6.98","8.59"
"48052","Larrabetzu","4.91","6.44","7.68","7.36","7.33","6.03","5.29","4.57","2.99","1.54","2.96","3.52","3.98"
"20048","Larraul","8.22","5.48","9.46","13.51","12.33","10.00","4.29","2.78","5.56","1.49","3.64","2.27","6.82"
"20902","Lasarte-Oria","10.55","11.99","13.10","12.87","12.86","11.20","9.85","9.88","8.77","7.57","8.96","8.84","7.30"
"01036","Laudio/Llodio","13.34","14.83","16.11","15.04","14.42","10.97","10.09","9.57","8.50","7.19","7.99","8.32","7.84"
"48053","Laukiz","5.96","5.96","6.82","6.03","4.99","3.54","3.64","2.87","3.42","3.45","2.92","4.55","2.61"
"20049","Lazkao","7.59","7.30","9.20","9.62","9.57","8.79","8.14","7.34","5.77","4.06","4.46","5.66","4.31"
"20050","Leaburu","11.21","12.15","13.73","11.32","10.78","11.93","10.28","9.09","8.41","5.50","5.61","5.71","6.00"
"20051","Legazpi","8.33","8.21","9.17","9.13","9.76","8.71","7.01","6.60","5.13","4.50","4.66","5.10","4.16"
"20052","Legorreta","6.94","11.11","10.80","9.13","9.91","7.45","7.63","8.37","5.63","6.21","4.90","4.94","2.96"
"01058","Legutio","9.48","9.11","9.93","11.01","10.25","9.49","7.65","5.64","5.87","4.02","4.01","4.92","2.62"
"20068","Leintz-Gatzaga","7.69","6.15","7.25","7.69","8.33","5.48","6.85","8.57","7.04","0.00","1.43","2.78","0.00"
"48054","Leioa","9.32","9.62","10.59","10.21","10.40","9.41","8.61","7.77","6.21","5.41","5.37","6.05","5.23"
"48057","Lekeitio","6.76","7.56","8.50","8.21","8.36","8.21","6.43","7.05","6.62","4.22","4.49","4.72","3.59"
"48055","Lemoa","11.69","11.78","11.86","11.26","10.85","10.08","7.99","8.77","6.17","4.62","3.83","4.95","5.28"
