"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"48053","Laukiz","88.24","66.18","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20049","Lazkao","112.41","32.57","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20050","Leaburu","102.70","16.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20051","Legazpi","43.93","16.34","15.05","15.13","15.13","15.28","36.65","18.13","18.13","18.29","18.37","0.00"
"20052","Legorreta","34.82","23.78","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01058","Legutio","45.03","23.04","9.43","9.43","10.04","10.03","10.07","10.22","11.84","12.28","12.78","1.48"
"20068","Leintz-Gatzaga","16.26","8.13","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48054","Leioa","132.85","98.16","73.05","73.60","60.20","61.15","48.41","25.65","14.10","14.45","5.34","5.67"
"48057","Lekeitio","60.43","25.58","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48055","Lemoa","70.65","32.61","42.27","42.30","42.40","106.22","106.22","94.59","52.74","0.00","0.00","0.00"
"48056","Lemoiz","71.43","37.79","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01034","Leza","16.13","4.03","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48081","Lezama","63.65","32.29","32.32","34.35","34.35","34.45","34.48","35.00","32.83","32.86","32.86","0.00"
"20053","Lezo","94.60","46.08","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20054","Lizartza","60.32","47.77","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48903","Loiu","43.58","32.11","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48058","Mallabia","30.61","12.24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48060","Markina-Xemein","66.88","42.34","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48061","Maruri-Jatabe","15.72","6.41","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48059","Mañaria","10.49","10.49","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20901","Mendaro","29.25","19.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48062","Mendata","12.74","9.55","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48063","Mendexa","12.46","9.35","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48064","Meñaka","36.59","16.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
