"Udalerri kodea","Udalerria","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"20076","Ordizia","9.69","8.15","8.36","0.00","0.00","0.00","0.00","0.00","0.00"
"20905","Orendain","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20060","Orexa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20061","Orio","29.38","33.90","35.85","37.23","38.36","39.60","35.56","36.23","0.00"
"20062","Ormaiztegi","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48075","Orozko","51.02","52.63","54.11","54.23","0.00","0.00","0.00","0.00","0.00"
"48083","Ortuella","24.74","34.59","35.05","35.51","35.78","10.00","9.99","10.09","9.92"
"48072","Otxandio","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01043","Oyón-Oion","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20059","Oñati","10.65","10.97","11.26","11.49","9.65","9.83","9.94","9.63","7.27"
"20064","Pasaia","14.37","14.52","10.40","10.47","10.57","4.40","4.40","4.43","4.41"
"01044","Peñacerrada-Urizaharra","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48077","Plentzia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48078","Portugalete","6.16","7.36","8.79","12.71","9.18","7.96","8.08","9.70","9.76"
"01047","Ribera Baja/Erribera Beitia","76.43","65.79","67.11","71.43","79.37","75.76","80.65","85.47","0.00"
"01051","Salvatierra/Agurain","62.31","62.41","63.25","18.43","18.81","16.18","16.39","16.45","16.26"
"01052","Samaniego","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01053","San Millán/Donemiliaga","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48082","Santurtzi","8.16","8.31","8.49","8.63","8.79","8.91","8.94","9.03","9.68"
"20070","Segura","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
