"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"20051","Legazpi","3.06","2.70","2.81","2.56","2.51","2.87","2.16","1.87","2.16","2.00","2.41"
"20052","Legorreta","3.25","2.41","3.04","1.90","2.08","2.07","2.26","2.32","2.08","2.32","2.61"
"01058","Legutio","2.66","2.78","2.63","2.39","2.21","2.54","1.91","2.57","2.80","2.81","2.32"
"20068","Leintz-Gatzaga","1.71","5.50","2.84","2.20","1.60","1.27","1.53","2.43","1.59","1.32","1.43"
"48054","Leioa","3.49","3.43","3.21","3.08","2.95","3.24","3.02","2.89","3.01","2.93","2.75"
"48057","Lekeitio","2.54","2.39","2.48","2.70","2.59","3.03","2.64","2.35","2.36","2.29","2.07"
"48055","Lemoa","3.18","2.48","2.52","2.49","2.21","2.56","1.81","1.88","2.05","2.12","2.16"
"48056","Lemoiz","2.30","2.05","1.41","1.53","1.83","3.12","2.27","1.73","2.80","2.05","2.00"
"01034","Leza","3.34","2.60","2.54","3.16","2.70","4.32","2.83","1.58","2.77","1.12","1.48"
"48081","Lezama","2.23","2.34","3.35","2.47","1.75","2.97","2.86","2.71","2.62","2.82","2.62"
"20053","Lezo","2.55","2.42","2.52","2.96","3.01","3.00","2.89","2.40","2.46","2.28","2.26"
"20054","Lizartza","3.30","2.49","2.60","1.91","3.08","4.33","3.64","4.05","4.07","4.22","2.23"
"48903","Loiu","2.78","2.71","2.75","2.41","2.08","2.13","1.91","1.99","2.31","2.24","2.14"
"48058","Mallabia","3.09","2.72","3.02","3.18","3.08","3.38","2.39","3.06","2.80","2.31","2.54"
"48060","Markina-Xemein","3.30","3.63","3.51","3.57","3.42","3.61","3.33","3.15","3.02","3.19","3.00"
"48061","Maruri-Jatabe","2.01","2.08","1.76","1.78","1.90","2.09","1.65","1.74","1.59","2.12","1.59"
"48059","Mañaria","2.25","1.76","2.65","2.30","1.70","2.34","2.00","2.13","1.46","1.59","1.85"
"20901","Mendaro","1.88","1.73","1.98","1.84","2.00","2.40","1.99","1.62","1.94","2.20","2.14"
"48062","Mendata","1.44","2.14","1.46","2.10","2.23","1.78","2.58","1.80","2.00","2.33","1.33"
"48063","Mendexa","1.38","2.05","1.35","1.29","1.41","1.73","1.54","1.83","1.33","1.62","1.77"
"48064","Meñaka","2.59","2.33","2.56","2.62","2.41","2.06","2.33","2.48","2.55","2.00","1.96"
"01039","Moreda de Álava / Moreda Araba","2.12","1.56","2.20","1.98","1.71","2.58","1.40","1.86","1.41","1.30","1.25"
"48066","Morga","1.45","1.69","1.24","1.50","2.35","2.11","1.15","1.69","1.95","1.67","1.33"
"48068","Mundaka","2.19","1.77","1.79","1.79","1.90","2.43","1.96","2.26","2.46","2.49","1.98"
"48069","Mungia","2.96","2.55","2.47","2.57","2.60","2.75","2.32","2.19","2.11","2.06","2.02"
"48007","Munitibar-Arbatzegi Gerrikaitz-","5.10","3.00","3.76","2.76","1.59","1.78","1.81","3.52","2.13","2.48","2.14"
"48908","Murueta","3.29","1.76","2.16","1.62","2.08","2.50","1.38","1.57","2.15","2.25","1.67"
"48071","Muskiz","2.34","2.41","1.74","1.98","1.87","1.95","1.96","2.27","2.38","2.26","1.74"
"20057","Mutiloa","2.09","2.29","1.26","1.87","1.90","1.85","1.79","1.75","1.17","2.00","1.53"
"20056","Mutriku","3.46","3.03","3.02","2.67","2.54","2.54","1.98","2.33","2.37","2.24","1.97"
"48067","Muxika","2.13","1.29","1.62","1.67","1.61","1.80","1.63","1.61","1.66","1.67","1.73"
"48909","Nabarniz","1.29","1.20","2.00","2.80","2.33","3.00","1.55","2.17","2.50","1.79","1.64"
"01041","Navaridas","2.62","2.16","2.35","2.59","1.93","2.26","1.80","1.79","1.60","1.17","1.35"
"20063","Oiartzun","2.78","2.62","2.87","2.88","2.66","2.71","2.51","2.34","2.32","2.19","2.12"
"01042","Okondo","5.54","5.22","4.45","3.14","2.72","3.13","1.92","1.99","2.07","1.99","1.94"
"20058","Olaberria","2.25","2.23","2.12","1.88","1.88","2.48","1.83","1.79","1.70","2.04","1.78"
"48073","Ondarroa","2.62","2.34","1.81","2.07","2.35","2.40","1.98","1.99","2.03","2.06","2.14"
"20076","Ordizia","2.40","2.06","1.91","1.79","1.77","1.97","1.51","1.73","1.61","1.67","1.70"
"20905","Orendain","1.95","1.45","1.75","2.36","1.77","1.50","1.88","1.38","2.86","3.60","1.57"
"20060","Orexa","1.83","1.83","1.75","1.86","1.60","1.89","1.36","1.43","2.11","1.64","1.71"
"20061","Orio","4.36","3.59","4.61","3.75","3.11","3.88","2.93","2.24","1.95","1.87","1.93"
"20062","Ormaiztegi","1.71","1.67","1.50","2.02","2.18","2.68","1.98","1.52","1.88","1.44","1.41"
"48075","Orozko","7.43","5.58","5.96","5.89","6.06","7.07","6.60","4.48","6.95","7.77","7.29"
"48083","Ortuella","2.70","2.89","2.36","2.58","2.46","2.60","2.18","2.17","2.24","1.92","1.99"
"48072","Otxandio","2.41","2.07","2.08","2.12","2.18","2.49","2.25","1.90","2.55","2.55","4.05"
"01043","Oyón-Oion","2.32","2.26","2.21","1.89","2.02","2.21","1.50","1.52","1.48","1.44","1.60"
"20059","Oñati","2.50","2.40","2.23","2.09","2.07","2.16","1.72","2.08","1.64","1.65","1.56"
"20064","Pasaia","3.25","2.76","2.50","2.85","2.93","3.23","2.42","2.45","2.49","2.50","2.21"
"01044","Peñacerrada-Urizaharra","1.36","1.23","1.37","1.80","1.00","1.87","1.20","1.64","6.00","3.00","0.00"
"48077","Plentzia","2.63","2.12","2.09","2.19","2.35","2.28","2.07","2.73","2.48","2.59","2.19"
"48078","Portugalete","2.75","2.68","2.59","2.60","2.49","2.63","2.35","2.39","2.53","2.55","2.44"
"01047","Ribera Baja/Erribera Beitia","2.66","3.73","3.55","3.74","2.52","2.56","2.00","1.95","1.45","1.42","1.76"
"01051","Salvatierra/Agurain","5.05","5.21","5.42","4.37","3.71","3.87","3.01","2.45","2.55","2.11","2.37"
"01052","Samaniego","2.41","2.10","1.65","2.09","1.56","2.19","1.63","1.35","1.36","1.22","1.29"
"01053","San Millán/Donemiliaga","1.77","1.84","1.94","2.43","4.59","3.85","3.16","1.61","1.72","2.02","1.73"
"48082","Santurtzi","3.48","3.26","3.05","3.01","2.84","3.85","3.66","4.38","2.88","2.82","2.98"
