"Udalerri kodea","Udalerria","2011","2001","1996","1991"
"01041","Navaridas","15.49","9.29","35.59","21.67"
"20063","Oiartzun","11.96","10.40","16.17","17.71"
"01042","Okondo","10.89","8.67","27.81","35.95"
"20058","Olaberria","35.23","20.97","17.58","10.86"
"48073","Ondarroa","13.52","11.14","15.92","17.53"
"20076","Ordizia","14.13","15.80","16.23","16.08"
"20905","Orendain","32.67","32.39","34.85","21.88"
"20060","Orexa","22.81","43.48","31.03","16.67"
"20061","Orio","19.77","7.39","20.59","12.72"
"20062","Ormaiztegi","15.93","16.22","29.49","26.14"
"48075","Orozko","27.28","36.31","40.17","22.67"
"48083","Ortuella","11.41","12.00","20.35","11.99"
"48072","Otxandio","19.59","16.60","29.07","13.37"
"01043","Oyón-Oion","16.61","14.26","29.13","13.70"
"20059","Oñati","12.81","9.50","21.24","21.57"
"20064","Pasaia","11.09","14.15","13.00","11.35"
"01044","Peñacerrada-Urizaharra","17.43","5.38","11.41","16.58"
"48077","Plentzia","13.67","0.60","50.09","4.14"
"48078","Portugalete","6.57","7.42","9.06","9.94"
"01047","Ribera Baja/Erribera Beitia","11.89","8.08","29.23","17.13"
"01051","Salvatierra/Agurain","16.66","12.79","17.48","17.80"
"01052","Samaniego","10.36","5.23","31.51","11.43"
"01053","San Millán/Donemiliaga","19.67","9.78","30.72","25.52"
"48082","Santurtzi","8.39","7.70","10.26","9.85"
"20070","Segura","21.33","26.87","31.02","25.81"
"48084","Sestao","8.81","7.66","8.59","10.42"
"48904","Sondika","12.51","10.09","16.77","13.86"
"48085","Sopela","6.81","8.56","33.96","25.66"
"48086","Sopuerta","10.77","6.66","29.55","15.94"
"20065","Soraluze-Placencia de las Armas","16.25","17.48","18.70","13.13"
"48076","Sukarrieta","13.13","0.97","66.50","1.65"
"20071","Tolosa","17.52","13.84","19.22","18.37"
"48087","Trucios-Turtzioz","24.92","8.40","31.66","10.44"
"48088","Ubide","12.14","0.98","30.11","7.37"
"48065","Ugao-Miraballes","13.03","11.69","14.98","17.10"
"48089","Urduliz","12.94","17.28","21.61","8.24"
"48074","Urduña/Orduña","18.73","19.21","28.85","30.32"
"01054","Urkabustaiz","15.24","12.96","44.48","23.69"
"20072","Urnieta","7.39","13.73","12.39","8.86"
"20077","Urretxu","11.02","9.96","17.03","17.57"
"20073","Usurbil","8.26","1.16","14.08","10.54"
"01055","Valdegovía/Gaubea","23.93","12.66","60.74","0.11"
"48080","Valle de Trápaga-Trapagaran","9.85","10.39","12.82","13.22"
"20075","Villabona","15.79","10.51","17.18","20.47"
"01057","Villabuena de Álava/Eskuernaga","18.78","16.29","32.68","13.14"
"01059","Vitoria-Gasteiz","9.71","6.43","11.16","12.85"
"01060","Yécora/Iekora","31.05","6.99","47.40","15.18"
"48095","Zaldibar","15.15","12.03","14.64","15.17"
"20078","Zaldibia","28.37","16.24","26.59","22.86"
"01061","Zalduondo","18.69","5.13","34.62","5.80"
"48096","Zalla","14.21","14.42","19.87","12.18"
"01062","Zambrana","29.91","10.96","55.67","8.05"
"48905","Zamudio","11.81","17.18","11.33","8.95"
"48097","Zaratamo","11.28","12.95","12.91","20.14"
"20079","Zarautz","7.10","6.83","35.30","39.57"
"48024","Zeanuri","20.06","23.33","22.62","20.93"
"48025","Zeberio","21.47","24.19","39.19","37.70"
"20025","Zegama","21.87","28.15","33.07","23.94"
"20026","Zerain","24.50","34.93","49.21","22.88"
"20027","Zestoa","25.47","20.30","26.37","24.28"
"48913","Zierbena","9.42","9.08","30.46",NA
"01018","Zigoitia","11.03","5.54","33.61","18.39"
"48915","Ziortza-Bolibar","23.64","21.60","24.92","22.20"
"20028","Zizurkil","15.71","13.29","20.08","14.90"
"01063","Zuia","15.63","9.90","41.32","8.63"
"20081","Zumaia","15.71","16.71","21.07","9.78"
"20080","Zumarraga","10.94","3.92","14.07","11.03"
