"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"01019","Kripan","13.79","17.86","17.86","15.62","18.75","72.73","63.64","60.00","60.00","60.00","58.33","58.33","61.54","53.85","50.00","55.56","44.44"
"01020","Kuartango","39.02","43.24","41.67","43.59","52.78","90.48","89.47","90.00","85.00","85.00","85.71","86.36","85.71","81.82","86.36","81.82","80.95"
"01028","Labastida/Bastida","47.46","45.16","46.20","43.68","46.24","60.28","59.33","58.86","58.06","56.69","56.46","57.14","55.56","58.73","60.00","60.87","61.98"
"01030","Lagrán","38.10","41.67","40.74","48.15","48.15","81.25","76.92","72.73","66.67","66.67","70.00","75.00","75.00","76.92","75.00","77.78","77.78"
"01031","Laguardia","46.53","45.50","46.68","46.83","47.75","56.11","53.80","53.07","52.50","50.00","49.30","49.43","50.00","45.93","47.15","48.47","49.58"
"01032","Lanciego/Lantziego","30.07","25.69","25.17","22.45","22.60","36.17","36.17","35.11","43.75","43.33","39.51","35.53","36.11","37.14","32.39","31.34","33.33"
"48051","Lanestosa","55.17","53.12","51.43","50.00","50.00","70.00","63.64","60.00","57.89","60.00","61.90","72.22","75.00","73.33","75.00","78.95","76.19"
"01902","Lantarón","35.29","37.50","38.46","36.27","37.38","55.56","56.00","60.00","67.53","69.23","68.06","70.00","70.31","67.74","66.67","68.00","65.67"
"01033","Lapuebla de Labarca","22.52","21.25","22.09","21.30","22.89","38.78","39.42","33.33","29.51","27.42","27.20","27.87","28.80","28.68","31.20","32.03","31.25"
"48052","Larrabetzu","70.13","69.74","66.88","65.22","66.26","72.15","71.43","71.52","71.52","70.70","71.62","73.29","70.23","68.29","66.40","69.42","68.50"
"20048","Larraul","43.33","43.75","50.00","44.44","47.06","59.09","57.89","62.50","62.50","46.15","41.67","41.67","37.50","35.29","31.25","35.29","43.75"
"20902","Lasarte-Oria","76.17","74.86","74.48","75.18","75.68","75.64","75.65","72.72","72.58","71.34","71.63","72.25","72.73","72.81","72.04","73.08","74.87"
"01036","Laudio/Llodio","77.98","77.70","77.04","76.81","76.94","79.35","78.94","77.60","77.65","78.11","78.26","78.12","77.83","77.73","77.60","77.38","78.02"
"48053","Laukiz","77.91","68.18","65.17","64.52","69.39","82.95","84.62","83.91","87.01","87.84","88.24","92.54","91.80","92.86","92.86","88.68","89.47"
"20049","Lazkao","61.89","63.13","61.49","63.37","61.28","63.27","62.60","62.03","63.46","67.69","67.22","66.48","64.97","65.52","64.77","65.68","64.29"
"20050","Leaburu","42.50","46.15","44.19","48.84","43.90","54.29","52.50","50.00","50.00","50.00","52.78","55.56","50.00","48.48","55.88","63.64","65.62"
"20051","Legazpi","69.23","69.81","67.22","67.16","68.93","71.58","71.21","70.95","71.18","73.20","71.75","72.85","72.47","72.70","73.82","73.34","74.38"
"20052","Legorreta","71.76","71.26","63.92","58.88","59.41","65.62","69.31","70.00","70.19","66.98","64.89","65.31","67.03","67.44","64.77","60.00","60.78"
"01058","Legutio","49.82","48.08","47.21","47.99","47.84","50.00","50.15","49.55","50.46","48.63","48.39","47.70","47.80","48.04","49.82","50.18","49.59"
"20068","Leintz-Gatzaga","68.18","69.57","54.55","60.87","70.00","78.95","81.82","80.95","86.36","83.33","86.36","86.36","86.96","85.00","89.47","94.74","85.00"
"48054","Leioa","83.88","83.19","82.55","81.61","81.08","80.68","80.20","80.17","82.28","81.83","81.09","80.70","80.47","80.39","80.68","80.87","80.96"
"48057","Lekeitio","79.04","80.04","80.43","78.12","78.71","81.10","80.00","80.22","80.56","81.33","81.11","82.24","81.02","80.65","79.72","80.25","79.52"
"48055","Lemoa","67.12","66.12","65.59","63.91","64.62","65.81","61.59","61.28","63.24","65.99","65.95","67.39","69.89","68.73","69.17","71.26","69.53"
"48056","Lemoiz","70.51","65.85","65.48","63.95","68.67","91.23","92.86","89.47","83.64","83.33","88.10","84.62","85.11","86.67","90.48","90.24","88.89"
"01034","Leza","32.35","28.12","25.81","31.25","30.00","39.13","42.86","42.86","41.67","37.50","33.33","36.00","37.50","40.91","39.13","34.78","30.43"
"48081","Lezama","66.34","64.08","63.87","61.22","61.03","69.44","71.28","69.49","71.11","71.74","69.78","67.78","67.07","65.64","69.44","69.06","69.29"
"20053","Lezo","57.32","56.94","57.29","56.11","56.72","57.39","57.02","57.34","57.59","58.25","58.25","56.46","55.74","54.67","53.89","55.03","56.14"
"20054","Lizartza","46.00","45.10","44.23","41.38","46.55","56.60","56.36","58.18","61.02","54.10","52.00","52.94","49.02","46.00","41.51","44.23","51.85"
"48903","Loiu","70.36","70.98","70.44","71.24","71.24","71.65","70.98","70.72","69.56","70.70","70.71","70.84","66.30","66.77","66.46","66.17","68.05"
