"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009"
"48095","Zaldibar","56.24","56.08","53.67","55.79","55.92","57.00","57.78"
"20078","Zaldibia","50.50","52.94","51.01","52.97","54.24","56.35","56.50"
"01061","Zalduondo","47.78","48.89","54.88","44.58","42.68","43.68","45.45"
"48096","Zalla","49.97","48.10","48.48","50.49","53.10","58.50","60.05"
"01062","Zambrana","29.17","28.12","27.08","24.62","29.00","30.89","29.35"
"48905","Zamudio","53.34","52.15","53.07","52.53","57.04","57.82","58.47"
"48097","Zaratamo","48.96","50.00","46.23","47.56","49.44","50.28","49.25"
"20079","Zarautz","51.94","50.59","50.37","51.84","54.03","54.50","55.09"
"48024","Zeanuri","53.62","53.99","55.76","58.08","60.28","61.42","62.74"
"48025","Zeberio","49.89","46.39","44.25","43.94","45.01","43.86","48.03"
"20025","Zegama","50.16","49.68","50.15","47.13","49.43","45.14","46.88"
"20026","Zerain","51.92","50.00","50.00","45.13","46.43","45.45","46.23"
"20027","Zestoa","50.16","48.19","49.36","50.19","51.87","50.94","51.82"
"48913","Zierbena","34.29","34.44","32.66","33.14","32.99","34.12","61.26"
"01018","Zigoitia","48.35","47.97","49.30","48.47","50.13","47.96","48.56"
"48915","Ziortza-Bolibar","28.86","28.36","26.11","46.04","48.74","44.74","24.23"
"20028","Zizurkil","52.98","52.10","51.29","53.19","59.24","60.74","62.05"
"01063","Zuia","48.14","47.54","43.89","45.60","46.36","46.53","47.82"
"20081","Zumaia","54.30","53.52","54.47","56.12","56.94","57.27","57.97"
"20080","Zumarraga","53.69","52.44","51.83","51.87","55.17","55.05","56.21"
